lat,lon,ele
-33.445204623,-70.669283568,540.31
-33.448015287,-70.678704737,525.049
-33.449033874,-70.683398829,521.365
-33.451913552,-70.690506307,513.0
-33.455913247,-70.699059635,506.438
-33.459915188,-70.707609441,498.49
-33.460632833,-70.709500491,500.076
-33.461364832,-70.710926308,498.058
-33.46426358,-70.7175598,496.785
-33.467922033,-70.724687927,489.123
-33.470446351,-70.730840589,485.507
-33.471937838,-70.732760577,487.048
-33.475177249,-70.740826834,482.33
-33.477313023,-70.746995544,476.222
-33.47835965,-70.750784071,473.177
-33.480137773,-70.755975397,476.243
-33.481112448,-70.762062401,467.577
-33.481442142,-70.763942847,468.12
-33.481327129,-70.767672334,466.59
-33.479448502,-70.765727732,466.634
-33.47834434,-70.763819564,468.04
-33.476881384,-70.760975787,469.513
-33.475791113,-70.758610205,472.0
-33.474715016,-70.755779491,473.754
-33.473251096,-70.752934321,475.844
-33.471429409,-70.749122507,478.182
-33.469637719,-70.74436796,481.359
-33.46778775,-70.741487302,481.0
-33.466383994,-70.736753741,482.687
-33.46535217,-70.732512765,484.778
-33.463573099,-70.727318391,483.405
-33.461808212,-70.721658719,494.033
-33.460818511,-70.716029295,496.348
-33.45944096,-70.710385591,498.634
-33.458106528,-70.703346982,506.584
-33.456000873,-70.696266666,513.0
-33.454254084,-70.690135806,514.98
-33.452880443,-70.684488679,519.47
-33.45111545,-70.678834367,525.835
-33.449333805,-70.673647678,534.267
-33.447574728,-70.667987043,539.136
-33.446552002,-70.663299261,541.463
-33.445490031,-70.660000335,542.708
-33.443693666,-70.655733141,561.083
-33.441188004,-70.648661498,566.232
-33.439008355,-70.643921365,576.81
-33.437663927,-70.637822709,578.905
-33.436559585,-70.635454743,577.083
-33.435509569,-70.632158973,579.546
-33.4336852,-70.628366053,587.118
-33.431499963,-70.624095101,596.457
-33.430431559,-70.621266112,594.0
-33.428249234,-70.616531042,603.838
-33.426438034,-70.612744532,613.943
-33.424626687,-70.608959395,617.944
-33.423868839,-70.608463187,622.742
-33.422770205,-70.606562899,619.027
-33.418233131,-70.602651286,633.671
-33.417826013,-70.603094168,635.206
-33.419603287,-70.607802624,624.728
-33.421765347,-70.612998358,608.77
-33.424697004,-70.618695271,605.119
-33.426869732,-70.623428466,596.019
-33.430140089,-70.630532258,585.412
-33.433405598,-70.63717452,577.785
-33.435196465,-70.64189691,572.314
-33.438884234,-70.648553758,578.376
-33.441412288,-70.65515384,567.887
-33.443195068,-70.65897182,547.354
-33.446512361,-70.664688804,541.565
-33.445791413,-70.662802054,546.537
-33.444389983,-70.658090742,555.246
-33.441928321,-70.650540894,577.227
-33.439770249,-70.644418432,583.502
-33.439450701,-70.642544083,574.03
-33.437342051,-70.635488273,580.084
-33.43444659,-70.628863573,586.015
-33.432304737,-70.623202821,597.627
-33.430466897,-70.619874191,597.0
-33.429364785,-70.617970763,601.496
-33.42636211,-70.615058365,615.058
-33.421017897,-70.612037211,612.995
-33.420960023,-70.613889995,608.996
-33.42315905,-70.618162998,602.356
-33.424961555,-70.622416724,592.149
-33.427134826,-70.627616963,598.529
-33.430798707,-70.634274014,596.323
-33.433333683,-70.63949333,577.176
-33.436314164,-70.643339165,581.235
-33.434093173,-70.639990925,574.009
-33.432646168,-70.636676997,579.493
-33.431175421,-70.634290898,584.568
-33.429753509,-70.631443945,607.725
-33.428635103,-70.62953907,597.306
-33.427134826,-70.627616963,598.529
-33.426384454,-70.626655675,598.008
-33.425258653,-70.625213432,618.785
-33.424897251,-70.624269019,626.858
-33.42075632,-70.620375847,608.706
-33.420748745,-70.622705621,637.497
-33.422247461,-70.625556746,729.998
-33.422996152,-70.626980963,743.31
-33.425529093,-70.633112957,847.74
-33.427972183,-70.638789282,579.433
-33.431185429,-70.645905565,566.077
-33.43446788,-70.652554903,561.0
-33.43771844,-70.66013678,551.0
-33.440261988,-70.665823174,545.037
-33.443537167,-70.672935064,531.885
-33.446450385,-70.679104411,526.05
-33.448989415,-70.684794599,521.629
-33.451555426,-70.689559547,516.586
-33.453346248,-70.694293947,510.907
-33.454048395,-70.696652639,510.029
-33.455113366,-70.699946445,506.0
-33.456885477,-70.705161902,502.0
-33.457947733,-70.708464059,501.388
-33.460100871,-70.714137993,495.792
-33.461492749,-70.719316754,499.864
-33.46368863,-70.723594593,492.279
-33.465869609,-70.728337563,489.115
-33.467318632,-70.731654601,485.609
-33.469140417,-70.735451663,485.374
-33.469886221,-70.736413498,482.924
-33.470617166,-70.737845629,482.412
-33.472437453,-70.741660548,481.0
-33.473555932,-70.743107647,479.161
-33.47536222,-70.747392172,477.0
-33.477886096,-70.753567846,477.606
-33.479262746,-70.759200225,470.575
-33.480280585,-70.763894978,467.988
-33.480194208,-70.766692099,465.398
-33.480093372,-70.769955883,464.0
-33.480035722,-70.771821184,462.0
-33.478486476,-70.771757518,464.327
-33.476191245,-70.770729319,467.663
-33.474728117,-70.767878743,466.615
-33.473293313,-70.764104936,470.222
-33.472231319,-70.760809243,472.913
-33.470436843,-70.756090377,476.47
-33.469088744,-70.749505389,477.438
-33.468028408,-70.74618354,478.333
-33.466968324,-70.742862745,480.253
-33.465608661,-70.736725601,484.658
-33.462783314,-70.727754555,489.978
-33.459568596,-70.718776818,496.404
-33.457444262,-70.712171362,499.982
-33.455377471,-70.70370528,502.519
-33.453652713,-70.697086379,508.923
-33.451898785,-70.690971818,513.836
-33.449019065,-70.683864053,520.089
-33.448029464,-70.678240544,525.969
-33.446248717,-70.673051717,533.502
-33.445175761,-70.670212339,536.516
-33.443395158,-70.66502369,544.725
-33.441973138,-70.660780175,543.534
-33.440215821,-70.655122608,580.58
-33.438480555,-70.649001516,572.38
-33.436744189,-70.641964498,580.845
-33.436400363,-70.640556129,578.998
-33.434661721,-70.634442879,579.007
-33.433225335,-70.630666635,583.6
-33.432182661,-70.626908323,587.913
-33.429643167,-70.621695419,596.462
-33.426676853,-70.617390943,605.364
-33.423274622,-70.614457351,611.789
-33.420586221,-70.613409407,608.437
-33.419392381,-70.614283796,608.921
-33.417751815,-70.616994431,612.146
-33.418465066,-70.623541548,698.2
-33.419155475,-70.626350745,813.998
-33.420251845,-70.630568099,866.093
-33.421911704,-70.635737968,682.649
-33.422555699,-70.638090739,594.283
-33.424268206,-70.642822845,562.634
-33.426446783,-70.647567685,561.93
-33.42862792,-70.652312831,557.674
-33.430785193,-70.657985256,550.026
-33.434452241,-70.665116153,545.418
-33.436607874,-70.670788414,538.838
-33.43951062,-70.677422001,531.024
-33.442456225,-70.682661065,524.26
-33.445357085,-70.689294567,516.365
-33.446820002,-70.692149714,515.81
-33.44973066,-70.698327212,509.022
-33.451914717,-70.702637225,504.613
-33.453336297,-70.706886077,502.191
-33.455863724,-70.713041893,499.852
-33.457284971,-70.717290876,494.508
-33.459869523,-70.721584539,491.626
-33.461275859,-70.726298996,490.593
-33.462739906,-70.729151267,488.801
-33.464576974,-70.732483596,486.477
-33.466757002,-70.737235063,481.767
-33.469294067,-70.74294919,480.666
-33.471817031,-70.749136778,478.157
-33.473624316,-70.753413255,476.665
-33.473968716,-70.754821803,473.713
-33.475374913,-70.759525878,469.35
-33.475360514,-70.759990643,470.264
-33.476766222,-70.764693867,470.0
-33.477095959,-70.766566715,467.455
-33.477338867,-70.771243425,466.58
-33.476564126,-70.771211588,467.631
-33.473996353,-70.766456774,469.142
-33.471829258,-70.761260275,471.271
-33.471456028,-70.760781461,471.187
-33.471140332,-70.758442964,473.0
-33.470494385,-70.7542306,475.22
-33.468715699,-70.749022616,478.119
-33.467684827,-70.744764306,480.848
-33.465549986,-70.738594855,484.021
-33.464174856,-70.732934636,486.0
-33.462051308,-70.726328473,491.013
-33.460271773,-70.721133888,490.896
-33.456639576,-70.713071975,500.843
-33.454485816,-70.707397007,501.851
-33.44973066,-70.698327212,509.022
-33.444236936,-70.687852362,516.201
-33.442383583,-70.68498495,522.978
-33.43801565,-70.675499427,532.375
-33.436894266,-70.674057353,534.748
-33.432839898,-70.666910082,543.872
-33.428409471,-70.659280975,550.379
-33.425444934,-70.654503875,553.901
-33.422105044,-70.649244801,557.859
-33.419873031,-70.645893046,626.607
-33.418012933,-70.643022511,551.711
-33.414618117,-70.639155524,544.56
-33.410816866,-70.635734383,537.962
-33.411973828,-70.636249714,538.945
-33.416164023,-70.639687089,550.0
-33.42187931,-70.644117787,558.135
-33.424139263,-70.646540123,559.911
-33.427536198,-70.649940521,558.186
-33.432353924,-70.657586166,558.042
-33.435287245,-70.663290331,546.005
-33.436738917,-70.666606858,542.899
-33.439296909,-70.671829924,536.137
-33.442213473,-70.677997819,531.622
-33.442931279,-70.679888676,530.973
-33.445440496,-70.686511461,516.414
-33.446157556,-70.688403748,516.497
-33.448252477,-70.695937824,509.109
-33.450735831,-70.703056669,507.645
-33.452890242,-70.708732422,501.228
-33.453220247,-70.710609228,501.807
-33.45538878,-70.715819618,494.829
-33.457585921,-70.720098822,496.581
-33.45683907,-70.719137978,494.557
-33.454670794,-70.713927679,499.205
-33.450993245,-70.707260333,503.366
-33.449197689,-70.702530158,506.904
-33.446667442,-70.696813268,511.999
-33.444457168,-70.692995227,512.747
-33.442681853,-70.687793535,519.634
-33.43936497,-70.68206992,530.907
-33.4371806,-70.677326675,531.47
-33.434636537,-70.671637662,540.0
-33.432451327,-70.666893959,546.175
-33.429546472,-70.660259112,548.11
-33.426985649,-70.655034122,554.123
-33.424798463,-70.65028974,556.957
